setup,train_years,test_year,n_train,n_test,AUC_bad_year,R2_severity
FDIC_only,2014-2019,2020,306,51,0.6363636363636362,-0.1642386512360774
FDIC_plus_sentiment,2014-2019,2020,306,51,0.6331168831168831,-0.17844867201284664
